"travel_name";"travel_image"
"강정천";"http://tong.visitkorea.or.kr/cms/resource/72/197272_image2_1.jpg"
"고살리 숲길";"http://tong.visitkorea.or.kr/cms/resource/15/2661515_image2_1.jpg"
"광치기해변";"http://tong.visitkorea.or.kr/cms/resource/55/2564155_image2_1.jpg"
"남원 큰엉해안";"http://tong.visitkorea.or.kr/cms/resource/68/725068_image2_1.jpg"
"낭만농장 귤밭76번지";"http://tong.visitkorea.or.kr/cms/resource/72/2775872_image2_1.jpg"
"노을해안로";"http://tong.visitkorea.or.kr/cms/resource/74/2781574_image2_1.jpg"
"논짓물";"http://tong.visitkorea.or.kr/cms/resource/57/2740557_image2_1.jpg"
"다이노대발이파크";"http://tong.visitkorea.or.kr/cms/resource/07/2751907_image2_1.jpg"
"대록산 (큰사슴이오름)";"http://tong.visitkorea.or.kr/cms/resource/34/2771334_image2_1.jpg"
"대발이파크";"http://tong.visitkorea.or.kr/cms/resource/84/2608484_image2_1.bmp"
"대정성지";"http://tong.visitkorea.or.kr/cms/resource/54/2771954_image2_1.jpg"
"대정향교";"http://tong.visitkorea.or.kr/cms/resource/04/1617304_image2_1.jpg"
"대포포구";"http://tong.visitkorea.or.kr/cms/resource/84/2740784_image2_1.jpg"
"도순다원";"http://tong.visitkorea.or.kr/cms/resource/07/2617707_image2_1.jpg"
"돈내코(원앙폭포)";"http://tong.visitkorea.or.kr/cms/resource/73/2665273_image2_1.jpg"
"동광리농촌체험마을";"http://tong.visitkorea.or.kr/cms/resource/12/2390112_image2_1.JPG"
"동일리포구";"http://tong.visitkorea.or.kr/cms/resource/96/2740796_image2_1.jpg"
"따라비 오름";"http://tong.visitkorea.or.kr/cms/resource/77/2364377_image2_1.jpg"
"마라도 가파도 정기여객선";"http://tong.visitkorea.or.kr/cms/resource/05/2621905_image2_1.bmp"
"마라도 등대";"http://tong.visitkorea.or.kr/cms/resource/15/2617815_image2_1.jpg"
"마라도(마라해양도립공원)";"http://tong.visitkorea.or.kr/cms/resource/13/2621913_image2_1.bmp"
"마라도가는 여객선";"http://tong.visitkorea.or.kr/cms/resource/33/2455533_image2_1.jpg"
"문섬/섶섬/범섬/새섬";"http://tong.visitkorea.or.kr/cms/resource/70/1618770_image2_1.jpg"
"미천굴";"http://tong.visitkorea.or.kr/cms/resource/98/2740898_image2_1.jpg"
"박수기정";"http://tong.visitkorea.or.kr/cms/resource/88/2740888_image2_1.jpg"
"백약이오름";"http://tong.visitkorea.or.kr/cms/resource/99/2731799_image2_1.jpg"
"법환포구";"http://tong.visitkorea.or.kr/cms/resource/53/2740753_image2_1.jpg"
"보목마을";"http://tong.visitkorea.or.kr/cms/resource/38/2513538_image2_1.jpg"
"보목포구";"http://tong.visitkorea.or.kr/cms/resource/69/2740769_image2_1.jpg"
"사계 발자국화석 발견지";"http://tong.visitkorea.or.kr/cms/resource/48/2369548_image2_1.jpg"
"사계해변";"http://tong.visitkorea.or.kr/cms/resource/81/2444181_image2_1.jpg"
"산방굴사(제주)";"http://tong.visitkorea.or.kr/cms/resource/39/1036539_image2_1.jpg"
"산방산(제주)";"http://tong.visitkorea.or.kr/cms/resource/86/2648186_image2_1.jpg"
"산방산유람선";"http://tong.visitkorea.or.kr/cms/resource/52/2740352_image2_1.png"
"삼매봉";"http://tong.visitkorea.or.kr/cms/resource/39/1617239_image2_1.jpg"
"상효원수목원/상효원";"http://tong.visitkorea.or.kr/cms/resource/68/2740868_image2_1.jpg"
"새섬공원";"http://tong.visitkorea.or.kr/cms/resource/70/2771370_image2_1.jpg"
"서건도";"http://tong.visitkorea.or.kr/cms/resource/55/2661655_image2_1.JPG"
"서귀본향당";"http://tong.visitkorea.or.kr/cms/resource/79/1619879_image2_1.jpg"
"서귀포 가시리마을 (녹산로 유채꽃도로)";"http://tong.visitkorea.or.kr/cms/resource/08/2617808_image2_1.jpg"
"서귀포 김정희 유배지";"http://tong.visitkorea.or.kr/cms/resource/73/2641073_image2_1.jpg"
"서귀포 예래생태마을";"http://tong.visitkorea.or.kr/cms/resource/23/1954923_image2_1.jpg"
"서귀포 전기버스 시티투어";"http://tong.visitkorea.or.kr/cms/resource/11/2046611_image2_1.jpg"
"서귀포유람선 뉴파라다이스호";"http://tong.visitkorea.or.kr/cms/resource/82/1618782_image2_1.jpg"
"서귀포자연휴양림";"http://tong.visitkorea.or.kr/cms/resource/11/1207811_image2_1.jpg"
"서귀포잠수함";"http://tong.visitkorea.or.kr/cms/resource/76/1618776_image2_1.jpg"
"석부작박물관";"http://tong.visitkorea.or.kr/cms/resource/97/2676397_image2_1.JPG"
"선광사(제주)";"http://tong.visitkorea.or.kr/cms/resource/98/724098_image2_1.jpg"
"선임교";"http://tong.visitkorea.or.kr/cms/resource/07/197707_image2_1.jpg"
"섭지코지";"http://tong.visitkorea.or.kr/cms/resource/80/2513480_image2_1.jpg"
"섯알오름";"http://tong.visitkorea.or.kr/cms/resource/95/2541395_image2_1.jpg"
"성산일출봉 [유네스코 세계자연유산]";"http://tong.visitkorea.or.kr/cms/resource/00/2613500_image2_1.jpg"
"성읍랜드";"http://tong.visitkorea.or.kr/cms/resource/49/2740849_image2_1.jpg"
"소인국테마파크";"http://tong.visitkorea.or.kr/cms/resource/26/2707926_image2_1.jpg"
"소정방폭포";"http://tong.visitkorea.or.kr/cms/resource/99/197899_image2_1.jpg"
"솔오름 (미악산)";"http://tong.visitkorea.or.kr/cms/resource/34/2771934_image2_1.jpg"
"송악산";"http://tong.visitkorea.or.kr/cms/resource/30/1620230_image2_1.jpg"
"송악산전망대";"http://tong.visitkorea.or.kr/cms/resource/82/2771882_image2_1.jpg"
"송악산진지동굴 / 진지동굴 (송악산 진지동굴)";"http://tong.visitkorea.or.kr/cms/resource/83/2771783_image2_1.jpg"
"쇠소깍";"http://tong.visitkorea.or.kr/cms/resource/10/1786510_image2_1.jpg"
"신도포구";"http://tong.visitkorea.or.kr/cms/resource/21/2740621_image2_1.jpg"
"신양 섭지해수욕장";"http://tong.visitkorea.or.kr/cms/resource/51/1617251_image2_1.jpg"
"신양마을";"http://tong.visitkorea.or.kr/cms/resource/11/1938311_image2_1.jpg"
"신풍 신천 바다목장";"http://tong.visitkorea.or.kr/cms/resource/23/2516623_image2_1.jpg"
"신화워터파크";"http://tong.visitkorea.or.kr/cms/resource/15/2562215_image2_1.jpg"
"신화테마파크";"http://tong.visitkorea.or.kr/cms/resource/95/2562195_image2_1.jpg"
"안덕계곡";"http://tong.visitkorea.or.kr/cms/resource/83/1617283_image2_1.jpg"
"알뜨르비행장 및 일본군 비행기 격납고";"http://tong.visitkorea.or.kr/cms/resource/02/200902_image2_1.jpg"
"약천사(제주)";"http://tong.visitkorea.or.kr/cms/resource/15/2640015_image2_1.jpg"
"양금석가옥";"http://tong.visitkorea.or.kr/cms/resource/86/1617086_image2_1.jpg"
"어멍아방잔치마을";"http://tong.visitkorea.or.kr/cms/resource/80/2363280_image2_1.JPG"
"엉덩물계곡";"http://tong.visitkorea.or.kr/cms/resource/39/2662739_image2_1.jpg"
"엉또폭포";"http://tong.visitkorea.or.kr/cms/resource/96/1954196_image2_1.jpg"
"여미지식물원";"http://tong.visitkorea.or.kr/cms/resource/49/2654749_image2_1.jpg"
"예래포구(하예포구)";"http://tong.visitkorea.or.kr/cms/resource/43/2740343_image2_1.jpg"
"오조포구";"http://tong.visitkorea.or.kr/cms/resource/37/2742637_image2_1.jpg"
"왕이메오름";"http://tong.visitkorea.or.kr/cms/resource/84/2713384_image2_1.jpg"
"외돌개(제주)";"http://tong.visitkorea.or.kr/cms/resource/91/2023691_image2_1.jpg"
"용머리해안";"http://tong.visitkorea.or.kr/cms/resource/43/2369543_image2_1.jpg"
"월평포구";"http://tong.visitkorea.or.kr/cms/resource/50/2742650_image2_1.jpg"
"위미1리어촌체험마을";"http://tong.visitkorea.or.kr/cms/resource/59/2517259_image2_1.jpg"
"위미항";"http://tong.visitkorea.or.kr/cms/resource/25/2740425_image2_1.jpg"
"유채꽃프라자";"http://tong.visitkorea.or.kr/cms/resource/58/2755158_image2_1.jpg"
"이상한 나라의 앨리스";"http://tong.visitkorea.or.kr/cms/resource/93/1010693_image2_1.jpg"
"이승이오름 (이승악)";"http://tong.visitkorea.or.kr/cms/resource/88/2740388_image2_1.jpg"
"이중섭 거주지";"http://tong.visitkorea.or.kr/cms/resource/38/2046538_image2_1.jpg"
"이중섭 문화거리";"http://tong.visitkorea.or.kr/cms/resource/17/1617217_image2_1.jpg"
"인디고트리";"http://tong.visitkorea.or.kr/cms/resource/95/2776095_image2_1.jpg"
"일출랜드";"http://tong.visitkorea.or.kr/cms/resource/90/170990_image2_1.jpg"
