"image_id";"is_updated";"travel_image";"travel_name"
1;"1";"http://tong.visitkorea.or.kr/cms/resource/72/197272_image2_1.jpg";"강정천"
2;"1";"http://tong.visitkorea.or.kr/cms/resource/15/2661515_image2_1.jpg";"고살리숲길"
3;"1";"http://tong.visitkorea.or.kr/cms/resource/55/2564155_image2_1.jpg";"광치기해변"
4;"1";"http://tong.visitkorea.or.kr/cms/resource/68/725068_image2_1.jpg";"남원큰엉해안"
5;"0";"http://tong.visitkorea.or.kr/cms/resource/72/2775872_image2_1.jpg";"낭만농장귤밭76번지"
6;"0";"http://tong.visitkorea.or.kr/cms/resource/74/2781574_image2_1.jpg";"노을해안로"
7;"1";"http://tong.visitkorea.or.kr/cms/resource/57/2740557_image2_1.jpg";"논짓물"
8;"1";"http://tong.visitkorea.or.kr/cms/resource/07/2751907_image2_1.jpg";"다이노대발이파크"
9;"0";"http://tong.visitkorea.or.kr/cms/resource/34/2771334_image2_1.jpg";"대록산(큰사슴이오름)"
10;"1";"http://tong.visitkorea.or.kr/cms/resource/84/2608484_image2_1.bmp";"대발이파크"
11;"0";"http://tong.visitkorea.or.kr/cms/resource/54/2771954_image2_1.jpg";"대정성지"
12;"1";"http://tong.visitkorea.or.kr/cms/resource/04/1617304_image2_1.jpg";"대정향교"
13;"1";"http://tong.visitkorea.or.kr/cms/resource/84/2740784_image2_1.jpg";"대포포구"
14;"1";"http://tong.visitkorea.or.kr/cms/resource/07/2617707_image2_1.jpg";"도순다원"
15;"1";"http://tong.visitkorea.or.kr/cms/resource/73/2665273_image2_1.jpg";"돈내코(원앙폭포)"
16;"1";"http://tong.visitkorea.or.kr/cms/resource/12/2390112_image2_1.JPG";"동광리농촌체험마을"
17;"1";"http://tong.visitkorea.or.kr/cms/resource/96/2740796_image2_1.jpg";"동일리포구"
18;"1";"http://tong.visitkorea.or.kr/cms/resource/77/2364377_image2_1.jpg";"따라비오름"
19;"1";"http://tong.visitkorea.or.kr/cms/resource/05/2621905_image2_1.bmp";"마라도가파도정기여객선"
20;"1";"http://tong.visitkorea.or.kr/cms/resource/15/2617815_image2_1.jpg";"마라도등대"
21;"1";"http://tong.visitkorea.or.kr/cms/resource/13/2621913_image2_1.bmp";"마라도(마라해양도립공원)"
22;"1";"http://tong.visitkorea.or.kr/cms/resource/33/2455533_image2_1.jpg";"마라도가는여객선"
